기업명,날짜,최고가,최저가
이화전기,2007.09.14,4320,
이화전기,2007.08.02,,645
한일사료,2007.08.27,3395,
한일사료,2007.07.06,,855
광명전기,2007.09.14,4030,
광명전기,2007.11.23,,1070
3S,2007.08.14,1235,
3S,2007.08.10,,215
이화공영,2007.12.07,67300,
이화공영,2007.07.16,,2515
세명전기,2007.09.14,6640,
세명전기,2007.07.02,,1285
특수건설,2007.12.07,49700,
특수건설,2007.07.27,,6830
보성파워텍,2007.09.14,3750,
보성파워텍,2007.11.23,,1065
엔텔스,2007.06.20,23000,
엔텔스,2007.11.13,,7190
