기업명,날짜,최고가,최저가
조아제약,2002.12.17,51000,
조아제약,2002.06.27,,4460
일성건설,2002.07.23,1560,
일성건설,2002.12.11,,380
남선알미늄,2002.11.27,9000,
남선알미늄,2002.11.11,,2300
동원금속,2002.07.25,5160,
동원금속,2002.11.27,,825
서울전자통신,2002.06.25,1620,
서울전자통신,2002.11.21,,270
안국약품,2002.08.30,33800,
안국약품,2002.11.18,,1980
성문전자,2002.09.25,12200,
성문전자,2002.12.11,,1050
세우글로벌,2002.07.25,41600,
세우글로벌,2002.11.27,,1035
에이디칩스,2002.07.12,28300,
에이디칩스,2002.10.01,,5110
진양화학,2002.06.25,7850,
진양화학,2002.09.27,,2300
